date,office,candidate,party,reporting_level,jurisdiction,county,votes,percentage
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Boone County,Boone County,42,14.33
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Boone County,Boone County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Boone County,Boone County,0,
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Bradley County,Bradley County,57,20.96
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Bradley County,Bradley County,215,79.04
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Bradley County,Bradley County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Bradley County,Bradley County,3,
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Calhoun County,Calhoun County,737,49.80
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Calhoun County,Calhoun County,743,50.20
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Calhoun County,Calhoun County,5,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Calhoun County,Calhoun County,162,
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Carroll County,Carroll County,29,39.19
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Carroll County,Carroll County,45,60.81
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Carroll County,Carroll County,1,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Carroll County,Carroll County,0,
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Chicot County,Chicot County,413,32.96
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Chicot County,Chicot County,840,67.04
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Chicot County,Chicot County,4,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Chicot County,Chicot County,101,
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Clark County,Clark County,1017,33.83
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Clark County,Clark County,1989,66.17
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Clark County,Clark County,4,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Clark County,Clark County,252,
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Clay County,Clay County,138,36.80
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Clay County,Clay County,237,63.20
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Clay County,Clay County,1,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Clay County,Clay County,5,
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Cleburne County,Cleburne County,1775,77.01
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Cleburne County,Cleburne County,530,22.99
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Cleburne County,Cleburne County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Cleburne County,Cleburne County,188,
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Cleveland County,Cleveland County,537,40.44
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Cleveland County,Cleveland County,791,59.56
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Cleveland County,Cleveland County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Cleveland County,Cleveland County,0,
2002-06-11,State Representative District 010,Representative Jerry Taylor,Democrat,county,Cleveland County,Cleveland County,1261,94.03
2002-06-11,State Representative District 010,Greg Fallon,Democrat,county,Cleveland County,Cleveland County,80,5.97
2002-06-11,State Representative District 010,Total over votes,Democrat,county,Cleveland County,Cleveland County,0,
2002-06-11,State Representative District 010,Total under votes,Democrat,county,Cleveland County,Cleveland County,0,
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Columbia County,Columbia County,613,31.24
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Columbia County,Columbia County,1349,68.76
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Columbia County,Columbia County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Columbia County,Columbia County,0,
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Conway County,Conway County,473,28.74
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Conway County,Conway County,1173,71.26
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Conway County,Conway County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Conway County,Conway County,121,
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Craighead County,Craighead County,5246,53.90
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Craighead County,Craighead County,4487,46.10
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Craighead County,Craighead County,6,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Craighead County,Craighead County,1202,
2002-06-11,State Representative District 074,Chris Thyer,Democrat,county,Craighead County,Craighead County,1994,66.56
2002-06-11,State Representative District 074,Gene Roebuck,Democrat,county,Craighead County,Craighead County,1002,33.44
2002-06-11,State Representative District 074,Total over votes,Democrat,county,Craighead County,Craighead County,3,
2002-06-11,State Representative District 074,Total under votes,Democrat,county,Craighead County,Craighead County,523,
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Crawford County,Crawford County,101,22.85
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Crawford County,Crawford County,341,77.15
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Crawford County,Crawford County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Crawford County,Crawford County,0,
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Crittenden County,Crittenden County,821,56.08
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Crittenden County,Crittenden County,643,43.92
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Crittenden County,Crittenden County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Crittenden County,Crittenden County,0,
2002-06-11,State Representative District 053,Denny Sumpter,Democrat,county,Crittenden County,Crittenden County,596,53.45
2002-06-11,State Representative District 053,Charles Suiter Jr,Democrat,county,Crittenden County,Crittenden County,519,46.55
2002-06-11,State Representative District 053,Total over votes,Democrat,county,Crittenden County,Crittenden County,0,
2002-06-11,State Representative District 053,Total under votes,Democrat,county,Crittenden County,Crittenden County,0,
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Cross County,Cross County,782,68.36
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Cross County,Cross County,362,31.64
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Cross County,Cross County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Cross County,Cross County,0,
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Dallas County,Dallas County,133,49.63
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Dallas County,Dallas County,135,50.37
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Dallas County,Dallas County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Dallas County,Dallas County,0,
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Desha County,Desha County,188,64.83
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Desha County,Desha County,102,35.17
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Desha County,Desha County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Desha County,Desha County,0,
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Drew County,Drew County,2458,84.12
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Drew County,Drew County,464,15.88
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Drew County,Drew County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Drew County,Drew County,48,
2002-06-11,State Representative District 010,Greg Fallon,Democrat,county,Drew County,Drew County,1574,67.52
2002-06-11,State Representative District 010,Representative Jerry Taylor,Democrat,county,Drew County,Drew County,757,32.48
2002-06-11,State Representative District 010,Total over votes,Democrat,county,Drew County,Drew County,0,
2002-06-11,State Representative District 010,Total under votes,Democrat,county,Drew County,Drew County,13,
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Faulkner County,Faulkner County,173,6.60
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Faulkner County,Faulkner County,2448,93.40
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Faulkner County,Faulkner County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Faulkner County,Faulkner County,0,
2002-06-11,State Representative District 045,Carl Roebuck,Democrat,county,Faulkner County,Faulkner County,410,46.43
2002-06-11,State Representative District 045,Betty Pickett,Democrat,county,Faulkner County,Faulkner County,473,53.57
2002-06-11,State Representative District 045,Total over votes,Democrat,county,Faulkner County,Faulkner County,0,
2002-06-11,State Representative District 045,Total under votes,Democrat,county,Faulkner County,Faulkner County,0,
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Franklin County,Franklin County,163,66.80
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Franklin County,Franklin County,81,33.20
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Franklin County,Franklin County,1,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Franklin County,Franklin County,0,
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Fulton County,Fulton County,40,19.32
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Fulton County,Fulton County,167,80.68
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Fulton County,Fulton County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Fulton County,Fulton County,0,
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Garland County,Garland County,218,40.82
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Garland County,Garland County,316,59.18
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Garland County,Garland County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Garland County,Garland County,0,
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Grant County,Grant County,159,52.48
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Grant County,Grant County,144,47.52
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Grant County,Grant County,2,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Grant County,Grant County,0,
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Greene County,Greene County,323,49.62
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Greene County,Greene County,328,50.38
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Greene County,Greene County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Greene County,Greene County,0,
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Hempstead County,Hempstead County,279,67.23
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Hempstead County,Hempstead County,136,32.77
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Hempstead County,Hempstead County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Hempstead County,Hempstead County,0,
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Hot Spring County,Hot Spring County,1382,37.89
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Hot Spring County,Hot Spring County,2265,62.11
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Hot Spring County,Hot Spring County,8,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Hot Spring County,Hot Spring County,418,
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Howard County,Howard County,117,55.98
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Howard County,Howard County,92,44.02
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Howard County,Howard County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Howard County,Howard County,0,
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Independence County,Independence County,1052,26.82
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Independence County,Independence County,2871,73.18
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Independence County,Independence County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Independence County,Independence County,388,
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Izard County,Izard County,91,24.40
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Izard County,Izard County,282,75.60
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Izard County,Izard County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Izard County,Izard County,0,
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Jackson County,Jackson County,1040,46.51
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Jackson County,Jackson County,1196,53.49
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Jackson County,Jackson County,4,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Jackson County,Jackson County,215,
2002-06-11,"Prosecuting Attorney, District 03",Stewart K. Lambert,Democrat,county,Jackson County,Jackson County,935,38.32
2002-06-11,"Prosecuting Attorney, District 03",City Attorney Henry H. Boyce,Democrat,county,Jackson County,Jackson County,1505,61.68
2002-06-11,"Prosecuting Attorney, District 03",Total over votes,Democrat,county,Jackson County,Jackson County,3,
2002-06-11,"Prosecuting Attorney, District 03",Total under votes,Democrat,county,Jackson County,Jackson County,12,
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Jefferson County,Jefferson County,549,46.21
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Jefferson County,Jefferson County,639,53.79
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Jefferson County,Jefferson County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Jefferson County,Jefferson County,0,
2002-06-11,State Representative District 010,Representative Jerry Taylor,Democrat,county,Jefferson County,Jefferson County,127,88.81
2002-06-11,State Representative District 010,Greg Fallon,Democrat,county,Jefferson County,Jefferson County,16,11.19
2002-06-11,State Representative District 010,Total over votes,Democrat,county,Jefferson County,Jefferson County,0,
2002-06-11,State Representative District 010,Total under votes,Democrat,county,Jefferson County,Jefferson County,0,
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Johnson County,Johnson County,99,39.92
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Johnson County,Johnson County,149,60.08
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Johnson County,Johnson County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Johnson County,Johnson County,0,
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Lafayette County,Lafayette County,168,67.20
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Lafayette County,Lafayette County,82,32.80
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Lafayette County,Lafayette County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Lafayette County,Lafayette County,1,
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Lawrence County,Lawrence County,558,44.71
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Lawrence County,Lawrence County,690,55.29
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Lawrence County,Lawrence County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Lawrence County,Lawrence County,35,
2002-06-11,"Prosecuting Attorney, District 03",City Attorney Henry H. Boyce,Democrat,county,Lawrence County,Lawrence County,694,54.22
2002-06-11,"Prosecuting Attorney, District 03",Stewart K. Lambert,Democrat,county,Lawrence County,Lawrence County,586,45.78
2002-06-11,"Prosecuting Attorney, District 03",Total over votes,Democrat,county,Lawrence County,Lawrence County,0,
2002-06-11,"Prosecuting Attorney, District 03",Total under votes,Democrat,county,Lawrence County,Lawrence County,3,
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Lee County,Lee County,52,49.52
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Lee County,Lee County,53,50.48
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Lee County,Lee County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Lee County,Lee County,0,
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Lincoln County,Lincoln County,1644,81.55
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Lincoln County,Lincoln County,372,18.45
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Lincoln County,Lincoln County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Lincoln County,Lincoln County,121,
2002-06-11,State Representative District 010,Greg Fallon,Democrat,county,Lincoln County,Lincoln County,385,34.47
2002-06-11,State Representative District 010,Representative Jerry Taylor,Democrat,county,Lincoln County,Lincoln County,732,65.53
2002-06-11,State Representative District 010,Total over votes,Democrat,county,Lincoln County,Lincoln County,0,
2002-06-11,State Representative District 010,Total under votes,Democrat,county,Lincoln County,Lincoln County,18,
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Little River County,Little River County,224,73.93
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Little River County,Little River County,79,26.07
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Little River County,Little River County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Little River County,Little River County,0,
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Logan County,Logan County,107,26.75
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Logan County,Logan County,293,73.25
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Logan County,Logan County,7,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Logan County,Logan County,0,
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Lonoke County,Lonoke County,1163,36.13
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Lonoke County,Lonoke County,2056,63.87
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Lonoke County,Lonoke County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Lonoke County,Lonoke County,242,
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Madison County,Madison County,164,62.12
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Madison County,Madison County,100,37.88
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Madison County,Madison County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Madison County,Madison County,0,
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Marion County,Marion County,804,69.55
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Marion County,Marion County,352,30.45
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Marion County,Marion County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Marion County,Marion County,0,
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Miller County,Miller County,188,56.12
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Miller County,Miller County,147,43.88
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Miller County,Miller County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Miller County,Miller County,0,
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Mississippi County,Mississippi County,132,30.70
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Mississippi County,Mississippi County,298,69.30
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Mississippi County,Mississippi County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Mississippi County,Mississippi County,7,
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Monroe County,Monroe County,1060,58.92
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Monroe County,Monroe County,739,41.08
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Monroe County,Monroe County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Monroe County,Monroe County,300,
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Montgomery County,Montgomery County,32,21.77
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Montgomery County,Montgomery County,115,78.23
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Montgomery County,Montgomery County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Montgomery County,Montgomery County,1,
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Nevada County,Nevada County,117,34.62
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Nevada County,Nevada County,221,65.38
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Nevada County,Nevada County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Nevada County,Nevada County,0,
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Newton County,Newton County,18,13.85
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Newton County,Newton County,112,86.15
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Newton County,Newton County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Newton County,Newton County,0,
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Ouachita County,Ouachita County,964,51.69
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Ouachita County,Ouachita County,901,48.31
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Ouachita County,Ouachita County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Ouachita County,Ouachita County,0,
2002-06-11,State Representative District 007,Robert Neal Jeffrey,Democrat,county,Ouachita County,Ouachita County,931,65.66
2002-06-11,State Representative District 007,Elizabeth Eppinette,Democrat,county,Ouachita County,Ouachita County,487,34.34
2002-06-11,State Representative District 007,Total over votes,Democrat,county,Ouachita County,Ouachita County,0,
2002-06-11,State Representative District 007,Total under votes,Democrat,county,Ouachita County,Ouachita County,0,
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Perry County,Perry County,730,31.55
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Perry County,Perry County,1584,68.45
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Perry County,Perry County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Perry County,Perry County,0,
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Phillips County,Phillips County,210,46.56
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Phillips County,Phillips County,241,53.44
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Phillips County,Phillips County,0,
