county,precinct,office,district,party,candidate,votes,provisional,early_voting,absentee,election_day
Ashley,FOUNTAIN HILL CITY,U.S. Senate,,DEM,Natalie James,16,0,6,0,10
Ashley,FOUNTAIN HILL RURAL,U.S. Senate,,DEM,Natalie James,16,0,3,2,11
Ashley,PORTLAND CITY,U.S. Senate,,DEM,Natalie James,64,0,3,1,60
Ashley,PORTLAND RURAL,U.S. Senate,,DEM,Natalie James,6,0,0,0,6
Ashley,BOYDELL,U.S. Senate,,DEM,Natalie James,3,0,0,0,3
Ashley,SNYDER / TRAFALGAR,U.S. Senate,,DEM,Natalie James,3,0,3,0,0
Ashley,MONTROSE CITY,U.S. Senate,,DEM,Natalie James,38,0,5,0,33
Ashley,MONTROSE RURAL,U.S. Senate,,DEM,Natalie James,1,0,0,0,1
Ashley,PARKDALE CITY,U.S. Senate,,DEM,Natalie James,34,0,5,0,29
Ashley,PARKDALE RURAL,U.S. Senate,,DEM,Natalie James,2,0,0,0,2
Ashley,WILMOT CITY,U.S. Senate,,DEM,Natalie James,78,0,9,6,63
Ashley,WILMOT RURAL,U.S. Senate,,DEM,Natalie James,8,0,4,0,4
Ashley,CW1,U.S. Senate,,LBT,Kenneth Cates,7,0,3,0,4
Ashley,CW2,U.S. Senate,,LBT,Kenneth Cates,8,0,5,0,3
Ashley,CW3,U.S. Senate,,LBT,Kenneth Cates,6,0,3,0,3
Ashley,NCE,U.S. Senate,,LBT,Kenneth Cates,3,0,2,0,1
Ashley,NCW,U.S. Senate,,LBT,Kenneth Cates,5,0,2,0,3
Ashley,WCR,U.S. Senate,,LBT,Kenneth Cates,8,0,5,0,3
Ashley,VOTECH,U.S. Senate,,LBT,Kenneth Cates,1,0,1,0,0
Ashley,COOTER,U.S. Senate,,LBT,Kenneth Cates,4,0,1,0,3
Ashley,HICKORY GROVE,U.S. Senate,,LBT,Kenneth Cates,7,0,3,0,4
Ashley,CROSSROADS,U.S. Senate,,LBT,Kenneth Cates,4,0,2,0,2
Ashley,HW3,U.S. Senate,,LBT,Kenneth Cates,2,0,1,0,1
Ashley,HW2,U.S. Senate,,LBT,Kenneth Cates,3,0,3,0,0
Ashley,HW1,U.S. Senate,,LBT,Kenneth Cates,2,0,2,0,0
Ashley,HAMBURG RURAL,U.S. Senate,,LBT,Kenneth Cates,5,0,3,0,2
Ashley,MT ZION,U.S. Senate,,LBT,Kenneth Cates,1,0,0,0,1
Ashley,MILO,U.S. Senate,,LBT,Kenneth Cates,4,0,3,0,1
Ashley,BEECH CREEK,U.S. Senate,,LBT,Kenneth Cates,0,0,0,0,0
Ashley,MIST,U.S. Senate,,LBT,Kenneth Cates,0,0,0,0,0
Ashley,FOUNTAIN HILL CITY,U.S. Senate,,LBT,Kenneth Cates,0,0,0,0,0
Ashley,FOUNTAIN HILL RURAL,U.S. Senate,,LBT,Kenneth Cates,2,0,2,0,0
Ashley,PORTLAND CITY,U.S. Senate,,LBT,Kenneth Cates,3,0,0,2,1
Ashley,PORTLAND RURAL,U.S. Senate,,LBT,Kenneth Cates,1,0,0,0,1
Ashley,BOYDELL,U.S. Senate,,LBT,Kenneth Cates,0,0,0,0,0
Ashley,SNYDER / TRAFALGAR,U.S. Senate,,LBT,Kenneth Cates,0,0,0,0,0
Ashley,MONTROSE CITY,U.S. Senate,,LBT,Kenneth Cates,1,0,0,0,1
Ashley,MONTROSE RURAL,U.S. Senate,,LBT,Kenneth Cates,0,0,0,0,0
Ashley,PARKDALE CITY,U.S. Senate,,LBT,Kenneth Cates,1,0,0,0,1
Ashley,PARKDALE RURAL,U.S. Senate,,LBT,Kenneth Cates,0,0,0,0,0
Ashley,WILMOT CITY,U.S. Senate,,LBT,Kenneth Cates,2,0,0,0,2
Ashley,WILMOT RURAL,U.S. Senate,,LBT,Kenneth Cates,0,0,0,0,0
Ashley,CW1,U.S. Congress District 04,,DEM,John White,178,3,123,10,42
Ashley,CW2,U.S. Congress District 04,,DEM,John White,189,0,116,4,69
Ashley,CW3,U.S. Congress District 04,,DEM,John White,109,0,73,1,35
Ashley,NCE,U.S. Congress District 04,,DEM,John White,47,0,30,0,17
Ashley,NCW,U.S. Congress District 04,,DEM,John White,30,0,11,1,18
Ashley,WCR,U.S. Congress District 04,,DEM,John White,89,0,54,3,32
Ashley,VOTECH,U.S. Congress District 04,,DEM,John White,38,1,24,2,11
Ashley,COOTER,U.S. Congress District 04,,DEM,John White,17,0,10,0,7
Ashley,HICKORY GROVE,U.S. Congress District 04,,DEM,John White,24,0,17,1,6
Ashley,CROSSROADS,U.S. Congress District 04,,DEM,John White,29,0,21,0,8
Ashley,HW3,U.S. Congress District 04,,DEM,John White,34,0,21,2,11
Ashley,HW2,U.S. Congress District 04,,DEM,John White,42,0,25,0,17
Ashley,HW1,U.S. Congress District 04,,DEM,John White,80,2,48,1,29
Ashley,HAMBURG RURAL,U.S. Congress District 04,,DEM,John White,37,0,29,0,8
Ashley,MT ZION,U.S. Congress District 04,,DEM,John White,3,0,3,0,0
Ashley,MILO,U.S. Congress District 04,,DEM,John White,25,0,11,2,12
Ashley,BEECH CREEK,U.S. Congress District 04,,DEM,John White,0,0,0,0,0
Ashley,MIST,U.S. Congress District 04,,DEM,John White,4,0,3,0,1
Ashley,FOUNTAIN HILL CITY,U.S. Congress District 04,,DEM,John White,17,0,7,0,10
Ashley,FOUNTAIN HILL RURAL,U.S. Congress District 04,,DEM,John White,17,0,3,1,13
Ashley,PORTLAND CITY,U.S. Congress District 04,,DEM,John White,64,0,4,1,59
Ashley,PORTLAND RURAL,U.S. Congress District 04,,DEM,John White,7,0,0,0,7
Ashley,BOYDELL,U.S. Congress District 04,,DEM,John White,4,0,1,0,3
Ashley,SNYDER / TRAFALGAR,U.S. Congress District 04,,DEM,John White,2,0,2,0,0
Ashley,MONTROSE CITY,U.S. Congress District 04,,DEM,John White,32,0,4,0,28
Ashley,MONTROSE RURAL,U.S. Congress District 04,,DEM,John White,0,0,0,0,0
Ashley,PARKDALE CITY,U.S. Congress District 04,,DEM,John White,35,0,5,0,30
Ashley,PARKDALE RURAL,U.S. Congress District 04,,DEM,John White,3,0,0,0,3
Ashley,WILMOT CITY,U.S. Congress District 04,,DEM,John White,78,0,10,6,62
Ashley,WILMOT RURAL,U.S. Congress District 04,,DEM,John White,9,0,5,0,4
Ashley,CW1,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,138,0,87,3,48
Ashley,CW2,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,216,0,132,15,69
Ashley,CW3,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,480,0,307,9,164
Ashley,NCE,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,275,1,141,5,128
Ashley,NCW,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,157,0,81,5,71
Ashley,WCR,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,282,0,171,1,110
Ashley,VOTECH,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,146,0,73,0,73
Ashley,COOTER,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,137,0,46,1,90
Ashley,HICKORY GROVE,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,322,0,219,3,100
Ashley,CROSSROADS,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,264,0,133,2,129
Ashley,HW3,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,239,0,149,5,85
Ashley,HW2,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,147,1,93,3,50
Ashley,HW1,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,30,0,15,0,15
Ashley,HAMBURG RURAL,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,392,0,260,10,122
Ashley,MT ZION,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,104,0,68,3,33
Ashley,MILO,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,242,0,116,4,122
Ashley,BEECH CREEK,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,16,0,7,0,9
Ashley,MIST,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,54,1,38,0,15
Ashley,FOUNTAIN HILL CITY,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,26,1,5,0,20
Ashley,FOUNTAIN HILL RURAL,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,167,0,58,4,105
Ashley,PORTLAND CITY,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,83,0,14,4,65
Ashley,PORTLAND RURAL,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,15,0,2,0,13
Ashley,BOYDELL,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,4,0,1,0,3
Ashley,SNYDER / TRAFALGAR,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,32,0,22,1,9
Ashley,MONTROSE CITY,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,21,0,5,0,16
Ashley,MONTROSE RURAL,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,3,0,0,0,3
Ashley,PARKDALE CITY,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,14,0,6,1,7
Ashley,PARKDALE RURAL,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,3,0,2,0,1
Ashley,WILMOT CITY,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,30,0,16,0,14
Ashley,WILMOT RURAL,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,37,0,13,1,23
Ashley,CW1,U.S. Congress District 04,,LBT,Gregory Maxwell,11,0,7,0,4
Ashley,CW2,U.S. Congress District 04,,LBT,Gregory Maxwell,9,0,3,0,6
Ashley,CW3,U.S. Congress District 04,,LBT,Gregory Maxwell,8,0,6,0,2
Ashley,NCE,U.S. Congress District 04,,LBT,Gregory Maxwell,4,0,1,0,3
Ashley,NCW,U.S. Congress District 04,,LBT,Gregory Maxwell,5,0,3,0,2
Ashley,WCR,U.S. Congress District 04,,LBT,Gregory Maxwell,4,0,2,0,2
Ashley,VOTECH,U.S. Congress District 04,,LBT,Gregory Maxwell,6,0,5,0,1
Ashley,COOTER,U.S. Congress District 04,,LBT,Gregory Maxwell,5,0,1,0,4
Ashley,HICKORY GROVE,U.S. Congress District 04,,LBT,Gregory Maxwell,8,0,5,0,3
Ashley,CROSSROADS,U.S. Congress District 04,,LBT,Gregory Maxwell,4,0,1,0,3
Ashley,HW3,U.S. Congress District 04,,LBT,Gregory Maxwell,4,0,0,0,4
Ashley,HW2,U.S. Congress District 04,,LBT,Gregory Maxwell,2,0,2,0,0
Ashley,HW1,U.S. Congress District 04,,LBT,Gregory Maxwell,4,0,2,0,2
Ashley,HAMBURG RURAL,U.S. Congress District 04,,LBT,Gregory Maxwell,5,0,2,0,3
Ashley,MT ZION,U.S. Congress District 04,,LBT,Gregory Maxwell,2,0,0,0,2
Ashley,MILO,U.S. Congress District 04,,LBT,Gregory Maxwell,2,0,2,0,0
Ashley,BEECH CREEK,U.S. Congress District 04,,LBT,Gregory Maxwell,0,0,0,0,0
Ashley,MIST,U.S. Congress District 04,,LBT,Gregory Maxwell,1,0,0,0,1
Ashley,FOUNTAIN HILL CITY,U.S. Congress District 04,,LBT,Gregory Maxwell,0,0,0,0,0
Ashley,FOUNTAIN HILL RURAL,U.S. Congress District 04,,LBT,Gregory Maxwell,0,0,0,0,0
Ashley,PORTLAND CITY,U.S. Congress District 04,,LBT,Gregory Maxwell,5,0,0,2,3
Ashley,PORTLAND RURAL,U.S. Congress District 04,,LBT,Gregory Maxwell,0,0,0,0,0
Ashley,BOYDELL,U.S. Congress District 04,,LBT,Gregory Maxwell,0,0,0,0,0
Ashley,SNYDER / TRAFALGAR,U.S. Congress District 04,,LBT,Gregory Maxwell,1,0,1,0,0
Ashley,MONTROSE CITY,U.S. Congress District 04,,LBT,Gregory Maxwell,1,0,0,0,1
Ashley,MONTROSE RURAL,U.S. Congress District 04,,LBT,Gregory Maxwell,0,0,0,0,0
Ashley,PARKDALE CITY,U.S. Congress District 04,,LBT,Gregory Maxwell,3,0,0,0,3
Ashley,PARKDALE RURAL,U.S. Congress District 04,,LBT,Gregory Maxwell,0,0,0,0,0
Ashley,WILMOT CITY,U.S. Congress District 04,,LBT,Gregory Maxwell,6,0,0,0,6
Ashley,WILMOT RURAL,U.S. Congress District 04,,LBT,Gregory Maxwell,1,0,0,0,1
Ashley,CW1,Attorney General,,REP,Lieutenant Governor Tim Griffin,149,1,94,3,51
Ashley,CW2,Attorney General,,REP,Lieutenant Governor Tim Griffin,222,0,134,15,73
Ashley,CW3,Attorney General,,REP,Lieutenant Governor Tim Griffin,475,0,307,7,161
Ashley,NCE,Attorney General,,REP,Lieutenant Governor Tim Griffin,274,1,139,5,129
Ashley,NCW,Attorney General,,REP,Lieutenant Governor Tim Griffin,160,0,83,5,72
Ashley,WCR,Attorney General,,REP,Lieutenant Governor Tim Griffin,280,0,170,1,109
Ashley,VOTECH,Attorney General,,REP,Lieutenant Governor Tim Griffin,156,0,81,0,75
Ashley,COOTER,Attorney General,,REP,Lieutenant Governor Tim Griffin,141,0,46,1,94
Ashley,HICKORY GROVE,Attorney General,,REP,Lieutenant Governor Tim Griffin,331,0,227,3,101
Ashley,CROSSROADS,Attorney General,,REP,Lieutenant Governor Tim Griffin,266,0,135,2,129
Ashley,HW3,Attorney General,,REP,Lieutenant Governor Tim Griffin,242,0,152,4,86
Ashley,HW2,Attorney General,,REP,Lieutenant Governor Tim Griffin,152,1,97,3,51
Ashley,HW1,Attorney General,,REP,Lieutenant Governor Tim Griffin,36,0,21,0,15
Ashley,HAMBURG RURAL,Attorney General,,REP,Lieutenant Governor Tim Griffin,398,0,267,10,121
Ashley,MT ZION,Attorney General,,REP,Lieutenant Governor Tim Griffin,105,0,68,3,34
Ashley,MILO,Attorney General,,REP,Lieutenant Governor Tim Griffin,244,0,116,5,123
Ashley,BEECH CREEK,Attorney General,,REP,Lieutenant Governor Tim Griffin,16,0,7,0,9
Ashley,MIST,Attorney General,,REP,Lieutenant Governor Tim Griffin,55,1,38,0,16
Ashley,FOUNTAIN HILL CITY,Attorney General,,REP,Lieutenant Governor Tim Griffin,27,1,5,0,21
Ashley,FOUNTAIN HILL RURAL,Attorney General,,REP,Lieutenant Governor Tim Griffin,169,0,59,3,107
Ashley,PORTLAND CITY,Attorney General,,REP,Lieutenant Governor Tim Griffin,86,0,15,4,67
Ashley,PORTLAND RURAL,Attorney General,,REP,Lieutenant Governor Tim Griffin,16,0,2,0,14
Ashley,BOYDELL,Attorney General,,REP,Lieutenant Governor Tim Griffin,4,0,2,0,2
Ashley,SNYDER / TRAFALGAR,Attorney General,,REP,Lieutenant Governor Tim Griffin,32,0,22,1,9
Ashley,MONTROSE CITY,Attorney General,,REP,Lieutenant Governor Tim Griffin,19,0,4,0,15
Ashley,MONTROSE RURAL,Attorney General,,REP,Lieutenant Governor Tim Griffin,3,0,0,0,3
Ashley,PARKDALE CITY,Attorney General,,REP,Lieutenant Governor Tim Griffin,16,0,6,1,9
Ashley,PARKDALE RURAL,Attorney General,,REP,Lieutenant Governor Tim Griffin,3,0,2,0,1
Ashley,WILMOT CITY,Attorney General,,REP,Lieutenant Governor Tim Griffin,31,0,17,0,14
Ashley,WILMOT RURAL,Attorney General,,REP,Lieutenant Governor Tim Griffin,37,0,13,1,23
Ashley,CW1,Attorney General,,DEM,Jesse Gibson,179,2,122,11,44
Ashley,CW2,Attorney General,,DEM,Jesse Gibson,191,0,116,4,71
Ashley,CW3,Attorney General,,DEM,Jesse Gibson,124,0,83,2,39
Ashley,NCE,Attorney General,,DEM,Jesse Gibson,48,0,30,0,18
Ashley,NCW,Attorney General,,DEM,Jesse Gibson,33,0,12,1,20
Ashley,WCR,Attorney General,,DEM,Jesse Gibson,92,0,56,3,33
Ashley,VOTECH,Attorney General,,DEM,Jesse Gibson,36,1,24,1,10
Ashley,COOTER,Attorney General,,DEM,Jesse Gibson,20,0,11,0,9
Ashley,HICKORY GROVE,Attorney General,,DEM,Jesse Gibson,26,0,16,1,9
Ashley,CROSSROADS,Attorney General,,DEM,Jesse Gibson,31,0,20,0,11
Ashley,HW3,Attorney General,,DEM,Jesse Gibson,37,0,19,3,15
Ashley,HW2,Attorney General,,DEM,Jesse Gibson,40,0,23,0,17
Ashley,HW1,Attorney General,,DEM,Jesse Gibson,77,2,45,1,29
Ashley,HAMBURG RURAL,Attorney General,,DEM,Jesse Gibson,36,0,26,0,10
Ashley,MT ZION,Attorney General,,DEM,Jesse Gibson,4,0,3,0,1
Ashley,MILO,Attorney General,,DEM,Jesse Gibson,24,0,12,1,11
Ashley,BEECH CREEK,Attorney General,,DEM,Jesse Gibson,0,0,0,0,0
Ashley,MIST,Attorney General,,DEM,Jesse Gibson,5,0,4,0,1
Ashley,FOUNTAIN HILL CITY,Attorney General,,DEM,Jesse Gibson,17,0,7,0,10
Ashley,FOUNTAIN HILL RURAL,Attorney General,,DEM,Jesse Gibson,17,0,3,2,12
Ashley,PORTLAND CITY,Attorney General,,DEM,Jesse Gibson,67,0,3,3,61
Ashley,PORTLAND RURAL,Attorney General,,DEM,Jesse Gibson,6,0,0,0,6
Ashley,BOYDELL,Attorney General,,DEM,Jesse Gibson,3,0,0,0,3
Ashley,SNYDER / TRAFALGAR,Attorney General,,DEM,Jesse Gibson,3,0,3,0,0
Ashley,MONTROSE CITY,Attorney General,,DEM,Jesse Gibson,38,0,5,0,33
Ashley,MONTROSE RURAL,Attorney General,,DEM,Jesse Gibson,0,0,0,0,0
Ashley,PARKDALE CITY,Attorney General,,DEM,Jesse Gibson,41,0,8,0,33
Ashley,PARKDALE RURAL,Attorney General,,DEM,Jesse Gibson,3,0,0,0,3
Ashley,WILMOT CITY,Attorney General,,DEM,Jesse Gibson,83,0,9,6,68
Ashley,WILMOT RURAL,Attorney General,,DEM,Jesse Gibson,9,0,4,0,5
Ashley,CW1,Auditor of State,,LBT,Simeon Snow,13,0,9,0,4
Ashley,CW2,Auditor of State,,LBT,Simeon Snow,8,0,4,0,4
Ashley,CW3,Auditor of State,,LBT,Simeon Snow,10,0,6,0,4
Ashley,NCE,Auditor of State,,LBT,Simeon Snow,7,0,3,0,4
Ashley,NCW,Auditor of State,,LBT,Simeon Snow,4,0,2,0,2
Ashley,WCR,Auditor of State,,LBT,Simeon Snow,12,0,5,0,7
Ashley,VOTECH,Auditor of State,,LBT,Simeon Snow,2,0,2,0,0
Ashley,COOTER,Auditor of State,,LBT,Simeon Snow,8,0,1,0,7
Ashley,HICKORY GROVE,Auditor of State,,LBT,Simeon Snow,5,0,3,0,2
Ashley,CROSSROADS,Auditor of State,,LBT,Simeon Snow,3,0,0,0,3
Ashley,HW3,Auditor of State,,LBT,Simeon Snow,5,0,1,1,3
Ashley,HW2,Auditor of State,,LBT,Simeon Snow,3,0,2,0,1
Ashley,HW1,Auditor of State,,LBT,Simeon Snow,2,0,2,0,0
Ashley,HAMBURG RURAL,Auditor of State,,LBT,Simeon Snow,7,0,5,0,2
Ashley,MT ZION,Auditor of State,,LBT,Simeon Snow,4,0,3,0,1
Ashley,MILO,Auditor of State,,LBT,Simeon Snow,5,0,1,0,4
Ashley,BEECH CREEK,Auditor of State,,LBT,Simeon Snow,0,0,0,0,0
Ashley,MIST,Auditor of State,,LBT,Simeon Snow,0,0,0,0,0
Ashley,FOUNTAIN HILL CITY,Auditor of State,,LBT,Simeon Snow,2,0,2,0,0
Ashley,FOUNTAIN HILL RURAL,Auditor of State,,LBT,Simeon Snow,1,0,0,0,1
Ashley,PORTLAND CITY,Auditor of State,,LBT,Simeon Snow,2,0,0,0,2
Ashley,PORTLAND RURAL,Auditor of State,,LBT,Simeon Snow,0,0,0,0,0
Ashley,BOYDELL,Auditor of State,,LBT,Simeon Snow,0,0,0,0,0
Ashley,SNYDER / TRAFALGAR,Auditor of State,,LBT,Simeon Snow,1,0,1,0,0
Ashley,MONTROSE CITY,Auditor of State,,LBT,Simeon Snow,0,0,0,0,0
Ashley,MONTROSE RURAL,Auditor of State,,LBT,Simeon Snow,0,0,0,0,0
Ashley,PARKDALE CITY,Auditor of State,,LBT,Simeon Snow,0,0,0,0,0
Ashley,PARKDALE RURAL,Auditor of State,,LBT,Simeon Snow,1,0,0,0,1
Ashley,WILMOT CITY,Auditor of State,,LBT,Simeon Snow,0,0,0,0,0
Ashley,WILMOT RURAL,Auditor of State,,LBT,Simeon Snow,0,0,0,0,0
Ashley,CW1,Auditor of State,,REP,Treasurer of State Dennis Milligan,142,0,88,3,51
Ashley,CW2,Auditor of State,,REP,Treasurer of State Dennis Milligan,215,0,130,15,70
Ashley,CW3,Auditor of State,,REP,Treasurer of State Dennis Milligan,484,0,313,8,163
Ashley,NCE,Auditor of State,,REP,Treasurer of State Dennis Milligan,272,1,139,5,127
Ashley,NCW,Auditor of State,,REP,Treasurer of State Dennis Milligan,161,0,83,5,73
Ashley,WCR,Auditor of State,,REP,Treasurer of State Dennis Milligan,270,0,164,1,105
Ashley,VOTECH,Auditor of State,,REP,Treasurer of State Dennis Milligan,154,0,78,0,76
Ashley,COOTER,Auditor of State,,REP,Treasurer of State Dennis Milligan,135,0,47,1,87
Ashley,HICKORY GROVE,Auditor of State,,REP,Treasurer of State Dennis Milligan,331,0,226,3,102
Ashley,CROSSROADS,Auditor of State,,REP,Treasurer of State Dennis Milligan,270,0,137,2,131
Ashley,HW3,Auditor of State,,REP,Treasurer of State Dennis Milligan,238,0,148,4,86
Ashley,HW2,Auditor of State,,REP,Treasurer of State Dennis Milligan,151,1,94,3,53
Ashley,HW1,Auditor of State,,REP,Treasurer of State Dennis Milligan,29,0,14,0,15
Ashley,HAMBURG RURAL,Auditor of State,,REP,Treasurer of State Dennis Milligan,389,0,259,9,121
Ashley,MT ZION,Auditor of State,,REP,Treasurer of State Dennis Milligan,102,0,65,3,34
Ashley,MILO,Auditor of State,,REP,Treasurer of State Dennis Milligan,238,0,115,4,119
Ashley,BEECH CREEK,Auditor of State,,REP,Treasurer of State Dennis Milligan,16,0,7,0,9
Ashley,MIST,Auditor of State,,REP,Treasurer of State Dennis Milligan,56,1,39,0,16
Ashley,FOUNTAIN HILL CITY,Auditor of State,,REP,Treasurer of State Dennis Milligan,27,1,5,0,21
Ashley,FOUNTAIN HILL RURAL,Auditor of State,,REP,Treasurer of State Dennis Milligan,166,0,58,3,105
Ashley,PORTLAND CITY,Auditor of State,,REP,Treasurer of State Dennis Milligan,84,0,14,5,65
Ashley,PORTLAND RURAL,Auditor of State,,REP,Treasurer of State Dennis Milligan,15,0,2,0,13
Ashley,BOYDELL,Auditor of State,,REP,Treasurer of State Dennis Milligan,4,0,2,0,2
Ashley,SNYDER / TRAFALGAR,Auditor of State,,REP,Treasurer of State Dennis Milligan,32,0,22,1,9
Ashley,MONTROSE CITY,Auditor of State,,REP,Treasurer of State Dennis Milligan,19,0,4,0,15
Ashley,MONTROSE RURAL,Auditor of State,,REP,Treasurer of State Dennis Milligan,3,0,0,0,3
Ashley,PARKDALE CITY,Auditor of State,,REP,Treasurer of State Dennis Milligan,16,0,6,1,9
Ashley,PARKDALE RURAL,Auditor of State,,REP,Treasurer of State Dennis Milligan,3,0,2,0,1
Ashley,WILMOT CITY,Auditor of State,,REP,Treasurer of State Dennis Milligan,30,0,16,0,14
Ashley,WILMOT RURAL,Auditor of State,,REP,Treasurer of State Dennis Milligan,38,0,13,1,24
Ashley,CW1,Auditor of State,,DEM,Diamond Arnold-Johnson,176,3,123,11,39
Ashley,CW2,Auditor of State,,DEM,Diamond Arnold-Johnson,190,0,117,4,69
