county,precinct,office,district,party,candidate,votes,election_day_paper_ballot,absentee,early_vote_ivo_machine,election_day_ivo_machine,early_vote_paper_ballot
Benton,06 Gentry Methodist Church,U.S. President,,REP,Ron Paul,39,1,0,9,29,0
Benton,07 Total Life Community Center,U.S. President,,REP,Ron Paul,19,1,0,3,15,0
Benton,08 1st Christian - Siloam,U.S. President,,REP,Ron Paul,35,0,0,6,29,0
Benton,09 Siloam Springs Community Building,U.S. President,,REP,Ron Paul,52,7,0,14,31,0
Benton,10 Heritage Missionary Baptist Church,U.S. President,,REP,Ron Paul,27,5,0,10,12,0
Benton,11 St. Marys Catholic Church,U.S. President,,REP,Ron Paul,56,9,0,15,32,0
Benton,12 Avoca Town Hall,U.S. President,,REP,Ron Paul,62,8,0,4,50,0
Benton,13 Lost Bridge Village Community Building,U.S. President,,REP,Ron Paul,31,3,1,3,24,0
Benton,14 Garfield 1st Baptist Church,U.S. President,,REP,Ron Paul,58,10,0,7,41,0
Benton,15 Springtown Church of Christ,U.S. President,,REP,Ron Paul,18,5,0,1,12,0
Benton,16 Robinson Community Building,U.S. President,,REP,Ron Paul,2,0,0,0,2,0
Benton,17 Logan Community Building,U.S. President,,REP,Ron Paul,8,0,0,2,6,0
Benton,18 Cave Springs Community Building,U.S. President,,REP,Ron Paul,76,3,0,13,60,0
Benton,19 Highfill Town Hall,U.S. President,,REP,Ron Paul,8,0,0,0,8,0
Benton,20 Vaughn Presbyterian Church,U.S. President,,REP,Ron Paul,49,6,0,4,39,0
Benton,21 St. Bernards Catholic Church,U.S. President,,REP,Ron Paul,45,1,0,14,30,0
Benton,22 New Life Christian Center,U.S. President,,REP,Ron Paul,136,5,0,28,102,1
Benton,23 Hiwasse Fire Station,U.S. President,,REP,Ron Paul,25,1,0,4,20,0
Benton,24 Highlands Church,U.S. President,,REP,Ron Paul,73,10,0,12,51,0
Benton,25 Presbyterian Church of Bella Vista,U.S. President,,REP,Ron Paul,81,2,0,18,61,0
Benton,26 Bella Vista 1st United Methodist Church,U.S. President,,REP,Ron Paul,73,2,0,30,41,0
Benton,27 Bella Vista Christian Church,U.S. President,,REP,Ron Paul,74,3,0,18,53,0
Benton,28 Bella Vista Baptist Church,U.S. President,,REP,Ron Paul,87,5,0,21,61,0
Benton,29 St. Theodores Episcopal Church,U.S. President,,REP,Ron Paul,58,8,1,17,32,0
Benton,30 VFW Post 9063,U.S. President,,REP,Ron Paul,82,2,1,16,63,0
Benton,31 Bella Vista Church of Christ,U.S. President,,REP,Ron Paul,27,0,0,4,23,0
Benton,32 Bentonville 1st Presbyterian Church,U.S. President,,REP,Ron Paul,139,12,0,58,68,1
Benton,33 Pea Ridge Emergency Services Building,U.S. President,,REP,Ron Paul,96,10,1,11,74,0
Benton,34 BentonvilleChurch of Christ,U.S. President,,REP,Ron Paul,137,0,0,53,84,0
Benton,35 Cornorstone Assembly of God,U.S. President,,REP,Ron Paul,25,2,0,6,17,0
Benton,36 1st Assembly of God Church,U.S. President,,REP,Ron Paul,116,2,1,31,82,0
Benton,37 Bentonville First Baptist Church,U.S. President,,REP,Ron Paul,81,4,0,29,48,0
Benton,38 Hope Church of Northwest Arkansas,U.S. President,,REP,Ron Paul,56,2,0,19,35,0
Benton,39 Oakley Chapel United Methodist Church,U.S. President,,REP,Ron Paul,36,3,0,10,23,0
Benton,40 Central United Methodist Church,U.S. President,,REP,Ron Paul,73,2,2,13,56,0
Benton,41 Little Flock City Hall,U.S. President,,REP,Ron Paul,53,3,0,8,42,0
Benton,42 Grace Lutheran Church,U.S. President,,REP,Ron Paul,40,7,0,12,21,0
Benton,43 Rogers 1st Church of the Nazarene,U.S. President,,REP,Ron Paul,79,2,0,15,62,0
Benton,44 Holy Trinity Lutheran Church,U.S. President,,REP,Ron Paul,29,4,0,7,18,0
Benton,45 Bland Chapel (Rocky Branch),U.S. President,,REP,Ron Paul,53,11,1,20,21,0
Benton,46 Colonial Baptist Church,U.S. President,,REP,Ron Paul,30,0,0,7,23,0
Benton,47 Charity Baptist Church,U.S. President,,REP,Ron Paul,110,0,1,25,84,0
Benton,48 Bethel Heights City Hall,U.S. President,,REP,Ron Paul,34,0,0,4,30,0
Benton,49 Lowell First Baptist Church,U.S. President,,REP,Ron Paul,53,20,0,6,27,0
Benton,50 Faith Christian Fellowship Church,U.S. President,,REP,Ron Paul,39,4,0,10,25,0
Benton,51 War Eagle Mill,U.S. President,,REP,Ron Paul,22,4,0,9,9,0
Benton,52 First United Pentecostal Church,U.S. President,,REP,Ron Paul,51,17,0,8,26,0
Benton,53 Rogers 1st United Methodist Church,U.S. President,,REP,Ron Paul,66,3,0,23,40,0
Benton,54 1st Christian of Rogers,U.S. President,,REP,Ron Paul,28,0,0,5,23,0
Benton,55 Southside Church of Christ,U.S. President,,REP,Ron Paul,36,1,2,14,19,0
Benton,56 Rogers Christian Church,U.S. President,,REP,Ron Paul,89,18,0,16,55,0
Benton,57 Hickory Creek Fire Station,U.S. President,,REP,Ron Paul,18,6,0,0,12,0
Benton,01 Gravette Civic Center,U.S. President,,REP,Newt Gingrich,26,3,0,2,21,0
Benton,02 Sulphur Springs Community Building,U.S. President,,REP,Newt Gingrich,4,0,0,0,4,0
Benton,03 Monte Ne Baptist Church,U.S. President,,REP,Newt Gingrich,18,1,0,6,11,0
Benton,04 Decatur Municipal Building,U.S. President,,REP,Newt Gingrich,11,3,0,0,8,0
Benton,05 Prairie Creek Community Center,U.S. President,,REP,Newt Gingrich,30,2,0,14,14,0
Benton,06 Gentry Methodist Church,U.S. President,,REP,Newt Gingrich,23,0,0,3,20,0
Benton,07 Total Life Community Center,U.S. President,,REP,Newt Gingrich,9,0,2,3,4,0
Benton,08 1st Christian - Siloam,U.S. President,,REP,Newt Gingrich,14,0,0,1,13,0
Benton,09 Siloam Springs Community Building,U.S. President,,REP,Newt Gingrich,24,4,0,5,15,0
Benton,10 Heritage Missionary Baptist Church,U.S. President,,REP,Newt Gingrich,11,3,0,4,4,0
Benton,11 St. Marys Catholic Church,U.S. President,,REP,Newt Gingrich,28,1,0,6,21,0
Benton,12 Avoca Town Hall,U.S. President,,REP,Newt Gingrich,17,0,1,0,16,0
Benton,13 Lost Bridge Village Community Building,U.S. President,,REP,Newt Gingrich,9,1,0,5,3,0
Benton,14 Garfield 1st Baptist Church,U.S. President,,REP,Newt Gingrich,17,3,0,2,12,0
Benton,15 Springtown Church of Christ,U.S. President,,REP,Newt Gingrich,4,1,0,0,3,0
Benton,16 Robinson Community Building,U.S. President,,REP,Newt Gingrich,4,0,0,0,4,0
Benton,17 Logan Community Building,U.S. President,,REP,Newt Gingrich,3,0,0,0,3,0
Benton,18 Cave Springs Community Building,U.S. President,,REP,Newt Gingrich,30,0,1,3,26,0
Benton,19 Highfill Town Hall,U.S. President,,REP,Newt Gingrich,5,0,0,1,4,0
Benton,20 Vaughn Presbyterian Church,U.S. President,,REP,Newt Gingrich,11,1,0,0,10,0
Benton,21 St. Bernards Catholic Church,U.S. President,,REP,Newt Gingrich,12,1,2,6,3,0
Benton,22 New Life Christian Center,U.S. President,,REP,Newt Gingrich,27,1,0,6,20,0
Benton,23 Hiwasse Fire Station,U.S. President,,REP,Newt Gingrich,7,0,0,0,7,0
Benton,24 Highlands Church,U.S. President,,REP,Newt Gingrich,41,5,1,7,28,0
Benton,25 Presbyterian Church of Bella Vista,U.S. President,,REP,Newt Gingrich,29,1,1,5,22,0
Benton,26 Bella Vista 1st United Methodist Church,U.S. President,,REP,Newt Gingrich,38,1,1,13,23,0
Benton,27 Bella Vista Christian Church,U.S. President,,REP,Newt Gingrich,26,0,0,10,16,0
Benton,28 Bella Vista Baptist Church,U.S. President,,REP,Newt Gingrich,20,2,0,4,14,0
Benton,29 St. Theodores Episcopal Church,U.S. President,,REP,Newt Gingrich,27,4,0,6,17,0
Benton,30 VFW Post 9063,U.S. President,,REP,Newt Gingrich,22,1,0,3,18,0
Benton,31 Bella Vista Church of Christ,U.S. President,,REP,Newt Gingrich,6,0,0,1,5,0
Benton,32 Bentonville 1st Presbyterian Church,U.S. President,,REP,Newt Gingrich,37,2,0,16,19,0
Benton,33 Pea Ridge Emergency Services Building,U.S. President,,REP,Newt Gingrich,33,4,0,10,19,0
Benton,34 BentonvilleChurch of Christ,U.S. President,,REP,Newt Gingrich,42,0,0,17,25,0
Benton,35 Cornorstone Assembly of God,U.S. President,,REP,Newt Gingrich,13,0,0,2,11,0
Benton,36 1st Assembly of God Church,U.S. President,,REP,Newt Gingrich,41,1,0,13,27,0
Benton,37 Bentonville First Baptist Church,U.S. President,,REP,Newt Gingrich,21,0,0,11,10,0
Benton,38 Hope Church of Northwest Arkansas,U.S. President,,REP,Newt Gingrich,23,2,2,12,7,0
Benton,39 Oakley Chapel United Methodist Church,U.S. President,,REP,Newt Gingrich,4,0,0,1,3,0
Benton,40 Central United Methodist Church,U.S. President,,REP,Newt Gingrich,15,0,0,5,10,0
Benton,41 Little Flock City Hall,U.S. President,,REP,Newt Gingrich,13,0,0,1,12,0
Benton,42 Grace Lutheran Church,U.S. President,,REP,Newt Gingrich,16,1,1,4,10,0
Benton,43 Rogers 1st Church of the Nazarene,U.S. President,,REP,Newt Gingrich,41,0,0,10,31,0
Benton,44 Holy Trinity Lutheran Church,U.S. President,,REP,Newt Gingrich,5,0,0,1,4,0
Benton,45 Bland Chapel (Rocky Branch),U.S. President,,REP,Newt Gingrich,9,3,0,2,4,0
Benton,46 Colonial Baptist Church,U.S. President,,REP,Newt Gingrich,6,0,0,1,5,0
Benton,47 Charity Baptist Church,U.S. President,,REP,Newt Gingrich,35,0,3,7,25,0
Benton,48 Bethel Heights City Hall,U.S. President,,REP,Newt Gingrich,13,0,0,1,12,0
Benton,49 Lowell First Baptist Church,U.S. President,,REP,Newt Gingrich,7,0,0,1,6,0
Benton,50 Faith Christian Fellowship Church,U.S. President,,REP,Newt Gingrich,6,0,0,3,3,0
Benton,51 War Eagle Mill,U.S. President,,REP,Newt Gingrich,12,5,0,3,4,0
Benton,52 First United Pentecostal Church,U.S. President,,REP,Newt Gingrich,12,0,0,3,9,0
Benton,53 Rogers 1st United Methodist Church,U.S. President,,REP,Newt Gingrich,22,0,0,6,16,0
Benton,54 1st Christian of Rogers,U.S. President,,REP,Newt Gingrich,6,0,0,2,4,0
Benton,55 Southside Church of Christ,U.S. President,,REP,Newt Gingrich,8,1,1,1,5,0
Benton,56 Rogers Christian Church,U.S. President,,REP,Newt Gingrich,22,4,0,5,13,0
Benton,57 Hickory Creek Fire Station,U.S. President,,REP,Newt Gingrich,3,0,0,0,3,0
Benton,01 Gravette Civic Center,U.S. President,,REP,Mitt Romney,342,30,3,41,268,0
Benton,02 Sulphur Springs Community Building,U.S. President,,REP,Mitt Romney,65,16,1,5,43,0
Benton,03 Monte Ne Baptist Church,U.S. President,,REP,Mitt Romney,214,33,2,59,119,1
Benton,04 Decatur Municipal Building,U.S. President,,REP,Mitt Romney,131,32,0,20,79,0
Benton,05 Prairie Creek Community Center,U.S. President,,REP,Mitt Romney,488,28,3,226,231,0
Benton,06 Gentry Methodist Church,U.S. President,,REP,Mitt Romney,174,0,4,13,157,0
Benton,07 Total Life Community Center,U.S. President,,REP,Mitt Romney,94,5,0,36,53,0
Benton,08 1st Christian - Siloam,U.S. President,,REP,Mitt Romney,152,3,2,41,106,0
Benton,09 Siloam Springs Community Building,U.S. President,,REP,Mitt Romney,272,37,0,109,126,0
Benton,10 Heritage Missionary Baptist Church,U.S. President,,REP,Mitt Romney,128,45,1,33,49,0
Benton,11 St. Marys Catholic Church,U.S. President,,REP,Mitt Romney,333,34,5,111,183,0
Benton,12 Avoca Town Hall,U.S. President,,REP,Mitt Romney,159,16,2,38,103,0
Benton,13 Lost Bridge Village Community Building,U.S. President,,REP,Mitt Romney,153,10,1,25,117,0
Benton,14 Garfield 1st Baptist Church,U.S. President,,REP,Mitt Romney,223,25,0,39,159,0
Benton,15 Springtown Church of Christ,U.S. President,,REP,Mitt Romney,67,9,0,5,53,0
Benton,16 Robinson Community Building,U.S. President,,REP,Mitt Romney,32,0,1,9,22,0
Benton,17 Logan Community Building,U.S. President,,REP,Mitt Romney,39,3,0,7,29,0
Benton,18 Cave Springs Community Building,U.S. President,,REP,Mitt Romney,415,2,3,84,324,2
Benton,19 Highfill Town Hall,U.S. President,,REP,Mitt Romney,48,3,0,4,41,0
Benton,20 Vaughn Presbyterian Church,U.S. President,,REP,Mitt Romney,181,18,1,40,122,0
Benton,21 St. Bernards Catholic Church,U.S. President,,REP,Mitt Romney,202,2,5,65,130,0
Benton,22 New Life Christian Center,U.S. President,,REP,Mitt Romney,496,3,6,127,360,0
Benton,23 Hiwasse Fire Station,U.S. President,,REP,Mitt Romney,91,4,0,16,71,0
Benton,24 Highlands Church,U.S. President,,REP,Mitt Romney,638,94,9,150,385,0
Benton,25 Presbyterian Church of Bella Vista,U.S. President,,REP,Mitt Romney,518,7,11,136,364,0
Benton,26 Bella Vista 1st United Methodist Church,U.S. President,,REP,Mitt Romney,413,11,4,171,227,0
Benton,27 Bella Vista Christian Church,U.S. President,,REP,Mitt Romney,455,7,7,166,275,0
Benton,28 Bella Vista Baptist Church,U.S. President,,REP,Mitt Romney,304,25,4,94,181,0
Benton,29 St. Theodores Episcopal Church,U.S. President,,REP,Mitt Romney,366,26,1,103,236,0
Benton,30 VFW Post 9063,U.S. President,,REP,Mitt Romney,515,20,12,215,268,0
Benton,31 Bella Vista Church of Christ,U.S. President,,REP,Mitt Romney,186,8,2,51,125,0
Benton,32 Bentonville 1st Presbyterian Church,U.S. President,,REP,Mitt Romney,601,26,7,264,304,0
Benton,33 Pea Ridge Emergency Services Building,U.S. President,,REP,Mitt Romney,377,39,1,86,251,0
Benton,34 BentonvilleChurch of Christ,U.S. President,,REP,Mitt Romney,715,6,12,324,373,0
Benton,35 Cornorstone Assembly of God,U.S. President,,REP,Mitt Romney,122,9,0,39,74,0
Benton,36 1st Assembly of God Church,U.S. President,,REP,Mitt Romney,430,4,5,162,258,1
Benton,37 Bentonville First Baptist Church,U.S. President,,REP,Mitt Romney,221,6,2,85,128,0
Benton,38 Hope Church of Northwest Arkansas,U.S. President,,REP,Mitt Romney,280,18,5,133,124,0
Benton,39 Oakley Chapel United Methodist Church,U.S. President,,REP,Mitt Romney,135,0,4,38,93,0
Benton,40 Central United Methodist Church,U.S. President,,REP,Mitt Romney,325,7,5,102,211,0
Benton,41 Little Flock City Hall,U.S. President,,REP,Mitt Romney,199,13,1,44,141,0
Benton,42 Grace Lutheran Church,U.S. President,,REP,Mitt Romney,189,20,0,40,129,0
Benton,43 Rogers 1st Church of the Nazarene,U.S. President,,REP,Mitt Romney,575,8,4,195,368,0
Benton,44 Holy Trinity Lutheran Church,U.S. President,,REP,Mitt Romney,72,2,3,22,45,0
Benton,45 Bland Chapel (Rocky Branch),U.S. President,,REP,Mitt Romney,168,34,1,67,66,0
Benton,46 Colonial Baptist Church,U.S. President,,REP,Mitt Romney,85,2,2,18,63,0
Benton,47 Charity Baptist Church,U.S. President,,REP,Mitt Romney,343,1,4,87,251,0
Benton,48 Bethel Heights City Hall,U.S. President,,REP,Mitt Romney,248,5,5,38,200,0
Benton,49 Lowell First Baptist Church,U.S. President,,REP,Mitt Romney,196,46,2,30,118,0
Benton,50 Faith Christian Fellowship Church,U.S. President,,REP,Mitt Romney,115,13,2,27,73,0
Benton,51 War Eagle Mill,U.S. President,,REP,Mitt Romney,105,17,0,15,73,0
Benton,52 First United Pentecostal Church,U.S. President,,REP,Mitt Romney,138,21,1,37,79,0
Benton,53 Rogers 1st United Methodist Church,U.S. President,,REP,Mitt Romney,290,3,5,140,142,0
Benton,54 1st Christian of Rogers,U.S. President,,REP,Mitt Romney,132,0,2,43,87,0
Benton,55 Southside Church of Christ,U.S. President,,REP,Mitt Romney,181,10,1,54,116,0
Benton,56 Rogers Christian Church,U.S. President,,REP,Mitt Romney,296,33,13,102,147,1
Benton,57 Hickory Creek Fire Station,U.S. President,,REP,Mitt Romney,95,13,2,8,72,0
Benton,11 St. Marys Catholic Church,State Senate District 1,,REP,Bart Hester,47,7,0,16,24,0
Benton,15 Springtown Church of Christ,State Senate District 1,,REP,Bart Hester,75,13,0,2,60,0
Benton,16 Robinson Community Building,State Senate District 1,,REP,Bart Hester,27,1,1,5,20,0
Benton,17 Logan Community Building,State Senate District 1,,REP,Bart Hester,40,2,0,7,31,0
Benton,18 Cave Springs Community Building,State Senate District 1,,REP,Bart Hester,366,5,0,58,301,2
Benton,19 Highfill Town Hall,State Senate District 1,,REP,Bart Hester,44,3,0,3,38,0
Benton,20 Vaughn Presbyterian Church,State Senate District 1,,REP,Bart Hester,149,18,0,24,107,0
Benton,22 New Life Christian Center,State Senate District 1,,REP,Bart Hester,562,8,4,131,419,0
Benton,23 Hiwasse Fire Station,State Senate District 1,,REP,Bart Hester,67,4,0,10,53,0
Benton,31 Bella Vista Church of Christ,State Senate District 1,,REP,Bart Hester,138,7,0,38,93,0
Benton,32 Bentonville 1st Presbyterian Church,State Senate District 1,,REP,Bart Hester,364,30,0,136,197,1
Benton,34 BentonvilleChurch of Christ,State Senate District 1,,REP,Bart Hester,481,3,7,199,272,0
Benton,36 1st Assembly of God Church,State Senate District 1,,REP,Bart Hester,457,2,4,148,301,2
Benton,37 Bentonville First Baptist Church,State Senate District 1,,REP,Bart Hester,201,7,0,76,118,0
Benton,38 Hope Church of Northwest Arkansas,State Senate District 1,,REP,Bart Hester,247,22,4,86,135,0
Benton,39 Oakley Chapel United Methodist Church,State Senate District 1,,REP,Bart Hester,108,3,4,25,76,0
Benton,41 Little Flock City Hall,State Senate District 1,,REP,Bart Hester,171,10,0,25,136,0
Benton,42 Grace Lutheran Church,State Senate District 1,,REP,Bart Hester,172,21,0,38,113,0
Benton,43 Rogers 1st Church of the Nazarene,State Senate District 1,,REP,Bart Hester,454,11,1,108,334,0
Benton,47 Charity Baptist Church,State Senate District 1,,REP,Bart Hester,0,0,0,0,0,0
Benton,11 St. Marys Catholic Church,State Senate District 1,,REP,Representative Tim Summers,64,2,0,15,47,0
Benton,15 Springtown Church of Christ,State Senate District 1,,REP,Representative Tim Summers,34,4,1,5,24,0
Benton,16 Robinson Community Building,State Senate District 1,,REP,Representative Tim Summers,15,0,0,3,12,0
Benton,17 Logan Community Building,State Senate District 1,,REP,Representative Tim Summers,19,1,0,3,15,0
Benton,18 Cave Springs Community Building,State Senate District 1,,REP,Representative Tim Summers,268,0,4,54,210,0
Benton,19 Highfill Town Hall,State Senate District 1,,REP,Representative Tim Summers,41,1,0,2,38,0
Benton,20 Vaughn Presbyterian Church,State Senate District 1,,REP,Representative Tim Summers,146,9,1,30,106,0
Benton,22 New Life Christian Center,State Senate District 1,,REP,Representative Tim Summers,271,1,3,78,189,0
Benton,23 Hiwasse Fire Station,State Senate District 1,,REP,Representative Tim Summers,91,4,0,15,72,0
Benton,31 Bella Vista Church of Christ,State Senate District 1,,REP,Representative Tim Summers,117,2,3,34,78,0
Benton,32 Bentonville 1st Presbyterian Church,State Senate District 1,,REP,Representative Tim Summers,592,30,7,269,285,1
Benton,34 BentonvilleChurch of Christ,State Senate District 1,,REP,Representative Tim Summers,597,4,6,276,311,0
Benton,36 1st Assembly of God Church,State Senate District 1,,REP,Representative Tim Summers,285,7,2,113,163,0
Benton,37 Bentonville First Baptist Church,State Senate District 1,,REP,Representative Tim Summers,210,6,2,82,120,0
Benton,38 Hope Church of Northwest Arkansas,State Senate District 1,,REP,Representative Tim Summers,208,13,5,107,83,0
Benton,39 Oakley Chapel United Methodist Church,State Senate District 1,,REP,Representative Tim Summers,98,0,0,33,65,0
Benton,41 Little Flock City Hall,State Senate District 1,,REP,Representative Tim Summers,139,5,2,35,97,0
Benton,42 Grace Lutheran Church,State Senate District 1,,REP,Representative Tim Summers,121,9,1,29,82,0
Benton,43 Rogers 1st Church of the Nazarene,State Senate District 1,,REP,Representative Tim Summers,353,5,4,127,217,0
Benton,47 Charity Baptist Church,State Senate District 1,,REP,Representative Tim Summers,0,0,0,0,0,0
Benton,01 Gravette Civic Center,State Representative District 92,,REP,Jim Parsons,157,8,5,20,124,0
Benton,02 Sulphur Springs Community Building,State Representative District 92,,REP,Jim Parsons,26,4,0,3,19,0
Benton,04 Decatur Municipal Building,State Representative District 92,,REP,Jim Parsons,59,19,0,5,35,0
Benton,21 St. Bernards Catholic Church,State Representative District 92,,REP,Jim Parsons,98,1,1,26,70,0
Benton,22 New Life Christian Center,State Representative District 92,,REP,Jim Parsons,3,0,0,0,3,0
Benton,23 Hiwasse Fire Station,State Representative District 92,,REP,Jim Parsons,31,1,0,0,30,0
Benton,24 Highlands Church,State Representative District 92,,REP,Jim Parsons,243,25,7,51,160,0
Benton,25 Presbyterian Church of Bella Vista,State Representative District 92,,REP,Jim Parsons,252,7,2,63,180,0
Benton,26 Bella Vista 1st United Methodist Church,State Representative District 92,,REP,Jim Parsons,218,11,3,73,131,0
Benton,27 Bella Vista Christian Church,State Representative District 92,,REP,Jim Parsons,225,10,2,67,146,0
Benton,34 BentonvilleChurch of Christ,State Representative District 92,,REP,Jim Parsons,94,1,1,33,59,0
Benton,01 Gravette Civic Center,State Representative District 92,,REP,Representative Mary Lou Slinkard,422,57,2,41,322,0
Benton,02 Sulphur Springs Community Building,State Representative District 92,,REP,Representative Mary Lou Slinkard,83,23,1,5,54,0
Benton,04 Decatur Municipal Building,State Representative District 92,,REP,Representative Mary Lou Slinkard,161,36,0,19,106,0
Benton,21 St. Bernards Catholic Church,State Representative District 92,,REP,Representative Mary Lou Slinkard,193,4,5,65,119,0
Benton,22 New Life Christian Center,State Representative District 92,,REP,Representative Mary Lou Slinkard,4,0,0,1,3,0
